school code,School Name
altaqwa,Al Taqwa College
braemar,Braemar College
school1,School1 College
travel,Rollcall Travel
rollcall,Rollcall Safety Solutions
campus1,Rollcall Campus 1
sacredheart,Sacred Heart College
bmc,Christian's Bus Bacchus Marsh 
bmg,Bacchus Marsh Grammar
wesley,Wesley College
redeemer,Redeemer Lutheran College
cathedral,Cathedral College Wangaratta
stleonards,St Leonards College
hume,Hume Anglican Grammar
template,TEMPLATE
trinity,Trinity Lutheran College
bethanylp,Bethany Lutheran Primary
stpeterclaver,St Peter Claver College
pacificlc,Pacific Lutheran College
bmgstaff,BMG Staff
meltonss,Melton Specialist School
warringapark,Warringa Park
bullengarook,Sunbury & Macedon Ranges Specialist School 
ballaratss,Ballarat Specialist School
kalbensd,Kalianna & Bendigo Special Development School
maryboroughec,Maryborough Education Centre
berendaless,Berendale  Special School
wangarattass,Wangaratta Special Ed
eastgippslandss,East Gippsland Specialist School
saless,Sale & District Specialist School
latrobesds,Latrobe Special Development School
warragulss,Warragul & District Special School
baringaschool,Baringa School
peninsulasc,Peninsula Specialist College
morningtonsds,Mornington SDS
frankstonsds,Frankston SDS
marnebek,Marnebek School
basscoastss,Bass Coast Specialist School
southgippslandss,South Gippsland Specialist School
baysidesds,Bayside SDS
katandra,Katandra School
officerss,Officer Specialist School
dandenongvalleyss,Dandenong Valley Special School
demo,Rollcall Demo 1
stpeterclaver2,St Peter Claver 2
heathdalecc,Heathdale CC
bethanialp,Bethania Lutheran Primary School
monitorcollege,Monitor College
cavbusgroup,Cavbus Group
standrewslc,St Andrews Lutheran College
assumption,Assumption College
careybc,Carey Baptist College
southcoastbc,South Coast Baptist College
goldcoastcc,Gold Coast Christian College
hamlynviews,Hamlyn Views School
tyndalecsse,Tyndale Christian School
goodshepherdlc,Good Shepherd Lutheran College
stjohnsgrammar,St John's Grammar
hillsic,Hills International College
stmichaelsgrammar,St Michael's Grammar School
covenantcollege,Covenant College
salesiancs,Salesian College Sunbury
mlcwa,MLC\CCGS
kimberleycollege,Kimberley College
aitkencollege,Aitken College
school2,School2 College
usschool1,US School 1
wellesleycollege,Wellesley College
alphingtongrammar,Alphington Grammar School
goodnewslutheranvic,Good News Lutheran
yatalabus,Yatala
glasshousecoaches,Glasshouse Coaches
plcsydney,PLC Sydney
pws,Perth Waldorf School
lumencc,lumencc
redrockcc,redrockcc
kolbe,kolbe
was,Whitsunday Anglican School
tyndalestrath,Tyndale Strathalbyn
kooralbynints,Kooralbyn Int School
hogwarts,Hogwarts
horizoncs,Horizon Christian School
tyndalemb,Tyndale Murray Bridge
cccc,Caroline Chisholm CC
suncoastcc,Suncoast Christian College
service,Rollcall Service
horizoncs_svc,Horizon Christian College Svc
secon_svc,Secon Svc
hillcrestcc,Hillcrest CC
school1uk,School1 @ UK
horne,Horne
gearbox_svc,Gearbox
canterburycollege,Canterbury College School
northline_svc,Northline Service
13cabs,13cabs
ielp_bellevuehps,IELP Bellevue Heights PS
ielp_blairatholps,IELP Blair Athol PS
ielp_clovellyps,IELP Clovelly Park Ps
ielp_cowandillaps,IELP Cowandilla PS
ielp_darlingtonps,IELP Darlington Ps
ielp_easttorrensps,IELP East Torrens PS
ielp_elizabethdps,IELP Elizabeth Downs PS
ielp_elizabethvps,IELP Elizabeth Vale PS
ielp_gillesstps,IELP Gilles Street PS
ielp_hampsteadps,IELP Hampstead PS
ielp_inglefarmps,IELP Ingle Farm PS
ielp_kilkennyps,IELP Kilkenny PS
ielp_penningtonps,IELP Pennington
ielp_richmondps,IELP Richmond PS
ielp_salisburynps,IELP Salisbury North Ps
ielp_thepinesps,IELP The Pines PS
centralcoastmps,Central Coast MPS
darlingpointss,Darling Point Special School
school3,School3 College
foundationcc,Foundation Christian College
northlinensw_svc,Northline - NSW
sargentfitness_svc,Service - Sargent Fitness
sunedenss,Suneden SS
wcbc,West Coast Bus Charter
freshwatercc,Freshwater CC
accmoreton,ACC Moreton
glc,Geelong Lutheran College
lankatours,Lanka Tours
cbb,Christian's Bus Ballarat 
kristin,Kristin School
aquinaswa,Aquinas College WA
chisholmcc,Chisholm Catholic College
smota,St Mary of the Angels Secondary College
faithlc,Faith Lutheran College
morningtonsc,Mornington Secondary College
ormiston,Ormiston College
riverviewcc,River View CC
townsvillecc,Townsville Christian College
bmcdemo,BMC Demo
xavier,Xavier
riversidecc,Riverside CC
southernhillscc,Southern Hills  CC
daylesfordsc,Daylesford Secondary College
leocata_svc,Leocatas Transport
tss,The Southport School
stjohnspreston,St Johns College - Preston
tkis,Colmont School
t2b,Thoughts2binary
minaret,Minaret College
hhs,SAED Heathfield HS
boukesnathalia,Bourkes Nathalia
mundaring,Mundaring Christian College
pittwaterhouse,Pittwater House
saedtraining,SAED Training
dyson,Dyson Group
wmac,West Moreton Anglican College
test2,School Name
petermoyes,Peter Moyes Anglican Community School
cbcc,Coolum Beach Christian College
ccc,Cooloola Christian College
calvarycc,Calvary Christian College
killester,Killester College
ivanhoe,Ivanhoe Grammar School
maristvic,Marist College Bendigo
cvas,Clarence Valley Anglican School
kardinia,Kardinia International College
aquinas,Aquinas College
highlandscc,Highlands Christian College
accmarsdenpark,ACC Marsden Park
ngutu,Ngutu College
collegiate,St Michaels Collegiate
harvest,Harvest Christian College
ellenbrook,Ellenbrook Christian College
rollcallcollege,RollCall College
sthildas,St Hilda's School
victory,Victory Christian College
trinitygs,Trinity Grammar School
crystalbps,Crystal Brooke Primary School - DESA
ellistonas,Elliston Area School - DESA
geraniumps,Geranium Primary School - DESA
hamleybridgeps,Hamley Bridge Primary School - DESA
hawkeras,Hawker Area School - DESA
kolbecc,Kolbe Catholic College
pittwatersso,Pittwater SSO Test
concordia,Concordia Lutheran College
sib,Stradbroke Island Buses
ssc,Saint Stephen's College
trinitygladstone,Trinity College Gladstone
rmc,Rivermount College
accburnie,ACC Burnie
acchobart,ACC Hobart
acclaunceston,ACC Launceston
acchume,ACC Hume - Benella
coolumcoaches,Coolum Coaches
